"group"	"set"	"method"	"cutoff"	"ontology"	"ID"	"Pop.total"	"Pop.term"	"Study.total"	"Study.term"	"Pop.family"	"Study.family"	"nparents"	"is.trivial"	"p"	"p.adjusted"	"p.min"	"depth"	"ic"	"partition"	"level3"	"name"	"loci"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0000018"	40819	39	3682	14	673	20	2	"false"	1.20225079684843e-14	4.08885496008152e-11	3.19566723690919e-64	27	6.69330230325943	"biological_process"	"regulation of biological process"	"regulation of DNA recombination"	"Q00423,Q10370"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0000266"	40819	29	3682	19	1109	165	2	"false"	3.86470543700775e-10	1.295449262485e-06	6.36644545885239e-58	7	8.4511602208118	"biological_process"	"cellular component organization or biogenesis"	"mitochondrial fission"	"Q39821,Q39828"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0000287"	40819	238	3682	42	4762	442	1	"false"	2.41680065629962e-05	0.0754525164896741	0	5	10.7537453138058	"molecular_function"	"ion binding"	"magnesium ion binding"	"Q42806"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0000785"	40819	631	3682	90	972	103	1	"false"	5.99655364318045e-08	0.000196626993959887	1.11669439446324e-272	13	6.05326494801343	"cellular_component"	"organelle part"	"chromatin"	"Q00423,P0CG89,Q10370"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0000786"	40819	82	3682	58	986	103	4	"false"	1.03142005389001e-45	3.62234722926172e-42	4.82998981249743e-122	17	9.36745095268595	"cellular_component"	"protein-DNA complex"	"nucleosome"	"Q00423,P0CG89,Q10370"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0001882"	40819	585	3682	222	14015	1616	4	"false"	6.54374410510975e-65	2.30994166910374e-61	0	6	7.0901836676762	"molecular_function"	"small molecule binding"	"nucleoside binding"	"Q43463,Q39821,Q39828"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0002181"	40819	162	3682	95	1180	415	1	"false"	4.17685366049618e-11	1.40467588602487e-07	3.019328380526e-204	26	7.01607569552248	"biological_process"	"organic substance metabolic process"	"cytoplasmic translation"	"P50346,O22518"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0003674"	40819	31122	3682	3109	40819	3682	1	"false"	1.42460203471801e-37	4.98610712151305e-34	0	0	1.35261930662358	"molecular_function"	"NA"	"molecular_function"	"P08995,Q00423,Q43463,P04670,Q948P5,Q948P6,P16313,P37228,P0CG89,O04104,P24099,O82560,P50346,Q42806,Q10370,Q39821,Q39828,Q39817,Q39836,Q39839,P19976,P02236,P02235,O22518"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0003723"	40819	1985	3682	458	7025	599	1	"false"	3.28613199136233e-146	1.16624824373449e-142	0	5	5.50672124164536	"molecular_function"	"organic cyclic compound binding"	"RNA binding"	"P50346"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0003924"	40819	578	3682	205	2088	485	1	"false"	1.18934270569225e-15	4.05565862641056e-12	0	7	7.19839725231643	"molecular_function"	"hydrolase activity"	"GTPase activity"	"Q43463,Q39821,Q39828"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0004618"	40819	142	3682	63	3256	297	2	"false"	1.77368888399938e-30	6.18485313850582e-27	9.64946956216939e-253	13	10.7537453138058	"molecular_function"	"transferase activity"	"phosphoglycerate kinase activity"	"Q42806"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0004619"	40819	146	3682	65	177	65	1	"false"	1.14250169185947e-07	0.000373483803068861	2.75824421302251e-35	5	9.65513302513773	"molecular_function"	"isomerase activity"	"phosphoglycerate mutase activity"	"Q42806"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0004634"	40819	142	3682	63	270	80	1	"false"	1.19037094415978e-08	3.92584337383895e-05	1.56014682826568e-80	5	10.7537453138058	"molecular_function"	"lyase activity"	"phosphopyruvate hydratase activity"	"Q42806"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0004743"	40819	142	3682	63	3076	280	2	"false"	1.11884732160254e-30	3.90253945774965e-27	3.73403233927573e-249	72	9.36745095268595	"molecular_function"	"transferase activity"	"pyruvate kinase activity"	"Q42806"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0005198"	40819	818	3682	388	31122	3109	1	"false"	5.71169594763771e-172	2.03050790938521e-168	0	1	7.01607569552248	"molecular_function"	"NA"	"structural molecule activity"	"P50346,O22518"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0005215"	40819	2557	3682	319	32024	3215	2	"false"	1.88289942910996e-05	0.0589159231368508	0	5	3.5905729229592	"molecular_function"	"localization"	"transporter activity"	"P08995,P16313,P02236,P02235"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0005509"	40819	477	3682	73	4762	442	1	"false"	5.47548886905981e-06	0.0173846771592649	0	5	8.67430377212601	"molecular_function"	"ion binding"	"calcium ion binding"	"Q39817"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0005525"	40819	458	3682	205	5180	857	3	"false"	4.15347686955574e-51	1.46202385808362e-47	0	20	9.36745095268595	"molecular_function"	"small molecule binding"	"GTP binding"	"Q43463,Q39821,Q39828"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0005575"	40819	29559	3682	3104	40819	3682	1	"false"	3.9486313391193e-71	1.39465658897694e-67	0	0	2.0507366763414	"cellular_component"	"NA"	"cellular_component"	"P08960,P08995,Q00423,Q43463,P04670,Q948P5,Q948P6,P16313,P37228,P0CG89,O04104,P24099,O82560,P50346,Q42806,Q10370,P04145,Q39821,Q39828,Q39817,Q39836,P19976,O22518"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0005622"	40819	18331	3682	2417	21376	2656	1	"false"	2.15833146529722e-18	7.41602691476124e-15	0	3	2.51732478654045	"cellular_component"	"cell part"	"intracellular"	"P08960,P08995,Q00423,Q43463,P04670,Q948P5,Q948P6,P37228,P0CG89,O04104,P24099,O82560,P50346,Q42806,Q10370,P04145,Q39821,Q39828,Q39817,Q39836,P19976,O22518"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0005623"	40819	21586	3682	2687	29559	3104	1	"false"	1.10101750716035e-81	3.89539994033332e-78	0	1	2.21518209665342	"cellular_component"	"NA"	"cell"	"P08960,P08995,Q00423,Q43463,P04670,Q948P5,Q948P6,P16313,P37228,P0CG89,O04104,P24099,O82560,P50346,Q42806,Q10370,P04145,Q39821,Q39828,Q39817,Q39836,P19976,O22518"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0005737"	40819	10639	3682	1992	18051	2403	1	"false"	7.44126479957741e-160	2.6431372568099e-156	0	5	3.37224341929914	"cellular_component"	"cell part"	"cytoplasm"	"P08960,P08995,Q43463,P04670,Q948P5,Q948P6,P37228,P0CG89,O04104,P24099,O82560,P50346,Q42806,P04145,Q39821,Q39828,Q39817,Q39836,P19976,O22518"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0005773"	40819	2921	3682	564	15843	2124	2	"false"	1.50373235926257e-23	5.19990649832997e-20	0	11	6.09978496364832	"cellular_component"	"membrane-bounded organelle"	"vacuole"	"Q43463,P0CG89,Q39817"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0005783"	40819	948	3682	264	15843	2124	3	"false"	4.66762893264298e-34	1.63226983774525e-30	0	12	5.9662535710238	"cellular_component"	"membrane-bounded organelle"	"endoplasmic reticulum"	"Q39817"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0005789"	40819	502	3682	131	14950	1510	5	"false"	1.81175407157127e-25	6.28497487428074e-22	0	21	6.64287144963253	"cellular_component"	"membrane part"	"endoplasmic reticulum membrane"	"Q39817"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0005829"	40819	2027	3682	586	8160	1634	1	"false"	2.97148032064812e-29	1.03437229961761e-25	0	7	5.80498542342768	"cellular_component"	"cell part"	"cytosol"	"P0CG89,P50346,Q39836,O22518"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0005840"	40819	731	3682	345	10152	1938	3	"false"	1.10592376229135e-72	3.90722865217532e-69	0	14	7.75801304025185	"cellular_component"	"cell part"	"ribosome"	"P50346,Q39836,O22518"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0005886"	40819	5291	3682	769	28822	3057	3	"false"	2.51690589441507e-23	8.69842677109847e-20	0	5	4.50957841314211	"cellular_component"	"cell"	"plasma membrane"	"Q43463,P0CG89,Q39817"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0006082"	40819	1531	3682	339	21999	2303	4	"false"	8.933036287206e-44	3.13370912955186e-40	0	9	3.48831559055189	"biological_process"	"cellular process"	"organic acid metabolic process"	"P04670,P37228,O04104,P24099,O82560,Q42806"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0006090"	40819	189	3682	76	625	148	1	"false"	4.36517334557615e-10	1.46276958810257e-06	1.26392158623943e-165	13	6.43625720026953	"biological_process"	"cellular process"	"pyruvate metabolic process"	"Q42806"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0006091"	40819	800	3682	179	17998	1855	1	"false"	1.48181231337915e-24	5.1374432904855e-21	0	4	5.42586914501626	"biological_process"	"cellular process"	"generation of precursor metabolites and energy"	"P37228,Q42806"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0006096"	40819	142	3682	63	393	106	9	"false"	7.84148355586846e-09	2.59631520534805e-05	5.30833538547485e-111	66	7.35254793214369	"biological_process"	"cellular process"	"glycolytic process"	"Q42806"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0006099"	40819	90	3682	48	18201	1854	3	"false"	1.60274631906517e-24	5.5535159955608e-21	7.22909184588401e-246	20	10.0605981332459	"biological_process"	"cellular process"	"tricarboxylic acid cycle"	"P37228"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0006163"	40819	429	3682	153	695	192	2	"false"	4.97938486060623e-10	1.66809392830309e-06	4.67939646319287e-200	24	5.28991350878024	"biological_process"	"cellular process"	"purine nucleotide metabolic process"	"Q42806,Q39839"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0006323"	40819	106	3682	35	543	43	2	"false"	3.53563743378054e-20	1.21767353219402e-16	8.73863239246628e-116	7	6.78345340025372	"biological_process"	"cellular component organization or biogenesis"	"DNA packaging"	"Q00423,P0CG89,Q10370"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0006333"	40819	100	3682	38	508	82	1	"false"	1.10869214603071e-09	3.7008143834505e-06	8.36465883430645e-109	7	6.99254519811228	"biological_process"	"cellular component organization or biogenesis"	"chromatin assembly or disassembly"	"Q00423,P0CG89,Q10370"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0006334"	40819	83	3682	30	300	53	3	"false"	8.02158243862072e-07	0.00258936681118677	2.80316005105692e-76	19	8.80783516475053	"biological_process"	"cellular component organization or biogenesis"	"nucleosome assembly"	"Q00423,P0CG89,Q10370"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0006342"	40819	79	3682	36	712	106	4	"false"	1.72881537402974e-12	5.83993833347248e-09	3.61545515754228e-107	74	6.90359771209579	"biological_process"	"cellular component organization or biogenesis"	"chromatin silencing"	"Q00423,Q10370"
"proteomics"	"identified"	"Bonferroni-Holm"	0.1	"GO"	"GO:0006412"	40819	1180	3682	415	12463	1193	7	"false"	1.97156347574518e-148	6.99905033889539e-145	0	25	4.96684793243914	"biological_process"	"organic substance metabolic process"	"translation"	"P50346,Q39836,O22518"
