Row.names	X1	X2	cluster	uncertainty	1	2	3	4	5	6	group	set	method	cutoff	ontology	ID	Pop.total	Pop.term	Study.total	Study.term	Pop.family	Study.family	nparents	is.trivial	p	p.adjusted	p.min	depth	ic	partition	level3	loci	rank	term_fil	clusterrank
ADP metabolic process	-0.275611987593312	-0.0224087939856191	1	0.0336979646632529	0.966302035336747	0.0336979646632529	9.53201650146301e-48	4.00029531260255e-56	0	1.03391642227746e-42	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0046031	40819	142	3682	63	411	148	3	false	0.00724500852682317	0.0309939895461569	2.10285882763071e-114	37	6.82191968108152	biological_process	cellular process	Q42806	38		50
alpha-amino acid biosynthetic process	-0.247498288480564	-0.0222301170657152	1	0.144461046802602	0.855538953197398	0.144461046802602	4.71675441916691e-42	1.13538452914592e-52	0	2.38080251890172e-37	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:1901607	40819	294	3682	70	527	105	2	false	0.00781696909863669	0.0330431928010148	2.23921877967436e-156	26	5.9579547682091	biological_process	cellular process	P24099,O82560	25		38
amide biosynthetic process	-0.262936276271969	0.0166201165447118	1	0.00711961140108019	0.99288038859892	0.0071196114010803	1.49953794777716e-42	2.33168651571305e-51	0	2.12171369281159e-35	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0043604	40819	1270	3682	421	6330	710	2	false	1.45381794076311e-135	6.46040347426609e-133	0	10	4.60314254535957	biological_process	nitrogen compound metabolic process	P50346,Q39836,O22518	6		10
amide transport	0.444307674243255	-0.404772763365636	5	0.00215624877823584	0	4.93311396411502e-76	3.09607341801169e-24	2.29836923004816e-159	0.997843751221764	0.00215624877823573	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0042886	40819	1351	3682	333	1784	363	1	false	4.10484735050986e-18	1.19612560090677e-16	0	5	4.14439607063846	biological_process	establishment of localization	Q43463	9		11
ATP generation from ADP	-0.278790279358068	-0.0240878406737756	1	0.0346682814779805	0.965331718522019	0.0346682814779805	1.74978193282695e-48	1.27587449674546e-56	0	1.65170199026196e-43	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0006757	40819	142	3682	63	880	210	4	false	2.6145177219532e-09	4.05878187840332e-08	3.49198337410525e-168	47	7.28800941100612	biological_process	cellular process	Q42806	43		56
ATP metabolic process	-0.28631525483471	-0.0222632029808533	1	0.0246656887597305	0.975334311240269	0.0246656887597306	7.60068297341098e-50	2.41981965869561e-57	0	1.13215360196266e-44	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0046034	40819	286	3682	126	411	148	3	false	9.91270393338044e-08	1.23215603087998e-06	5.18302580844144e-109	37	6.33490470600925	biological_process	cellular process	Q42806	33		46
biological_process	0.188354285198654	-0.0958088967071196	3	0.483959603790493	3.10659363154727e-99	7.01133014194602e-14	0.516040396209507	8.88218437083578e-47	0	0.483959603790422	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0008150	40819	29947	3682	3141	40819	3682	1	false	7.11831026049279e-74	1.15025422618418e-71	0	0	0.284035274283438	biological_process	biological_process	P08960,P08995,Q00423,Q43463,P04670,P04671,P04672,Q948P5,Q948P6,P16313,P37228,P0CG89,O04104,P24099,O82560,P50346,P08863,Q42806,Q10370,P04144,P04145,Q39821,Q39828,Q39817,Q39836,Q39839,P19976,P02236,P02235,O22518	1	biological_process	1
biosynthetic process	-0.256708217898248	-0.108302823056347	2	5.96295067190056e-06	5.9629506718304e-06	0.999994037049328	4.45130447367734e-51	7.39906986080499e-63	0	1.01058306992589e-50	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0009058	40819	8272	3682	965	22147	2186	1	false	4.18885620828218e-12	8.09314338067563e-11	0	2	2.47455553661084	biological_process	biosynthetic process	Q00423,P24099,O82560,P50346,Q10370,Q39836,Q39839,O22518	1	biosynthetic process	5
carbohydrate catabolic process	-0.208624739935107	-0.11719615390087	2	5.01283015097442e-10	5.01282969839662e-10	0.999999999498717	2.13759400740841e-42	1.56578303590599e-59	0	2.31219858902204e-42	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:0016052	40819	478	3682	82	3672	449	2	false	0.000446075366531174	0.00274359503117357	0	7	5.01074212599636	biological_process	primary metabolic process	Q42806	5		35
carbohydrate derivative biosynthetic process	-0.267467998745145	-0.103300554131502	2	5.72989106091271e-05	5.72989106090759e-05	0.999942701089391	9.16474547512863e-53	2.78247615020862e-63	0	3.61445072568236e-52	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:1901137	40819	716	3682	130	8372	1037	2	false	1.9950990275973e-06	2.02645058374526e-05	0	6	4.61386076157959	biological_process	organic substance metabolic process	Q39839	7		30
carbohydrate derivative metabolic process	-0.219659903744143	-0.116651513222446	2	4.03228272993772e-09	4.03228275134988e-09	0.999999995967717	1.72638454232745e-44	1.88803348415645e-60	0	1.86887812245609e-44	proteomics	identified	Benjamini-Hochberg	0.1	GO	GO:1901135	40819	1152	3682	228	19176	1940	1	false	2.03549808883142e-24	7.78085559762977e-23	0	3	3.78207670908006	biological_process	organic substance metabolic process	Q42806,Q39839	6		21
