"group"	"set"	"method"	"cutoff"	"ontology"	"ID"	"Pop.total"	"Pop.term"	"Study.total"	"Study.term"	"Pop.family"	"Study.family"	"nparents"	"is.trivial"	"p"	"p.adjusted"	"p.min"	"depth"	"ic"	"partition"	"level3"	"name"	"loci"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0000018"	40819	39	3682	14	673	20	2	"false"	1.20225079684843e-14	2.75742037599753e-13	3.19566723690919e-64	27	6.69330230325943	"biological_process"	"regulation of biological process"	"regulation of DNA recombination"	"Q00423,Q10370"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0000027"	40819	87	3682	44	1405	484	3	"false"	0.00101745679576544	0.00565165454522835	4.53771203559111e-141	17	9.65513302513773	"biological_process"	"cellular component organization or biogenesis"	"ribosomal large subunit assembly"	"P50346"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0000028"	40819	53	3682	27	1401	469	3	"false"	0.00557216228828206	0.0246361742543513	2.00588414720143e-97	17	9.65513302513773	"biological_process"	"cellular component organization or biogenesis"	"ribosomal small subunit assembly"	"O22518"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0000041"	40819	246	3682	28	643	51	1	"false"	0.0089260576449911	0.0370269952484753	5.01465653062201e-185	7	5.80498542342768	"biological_process"	"establishment of localization"	"transition metal ion transport"	"Q948P5,Q948P6,P16313,P19976"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0000266"	40819	29	3682	19	1109	165	2	"false"	3.86470543700775e-10	6.73481756302086e-09	6.36644545885239e-58	7	8.4511602208118	"biological_process"	"cellular component organization or biogenesis"	"mitochondrial fission"	"Q39821,Q39828"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0000287"	40819	238	3682	42	4762	442	1	"false"	2.41680065629962e-05	0.000197966044542515	0	5	10.7537453138058	"molecular_function"	"ion binding"	"magnesium ion binding"	"Q42806"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0000785"	40819	631	3682	90	972	103	1	"false"	5.99655364318045e-08	7.69593797888321e-07	1.11669439446324e-272	13	6.05326494801343	"cellular_component"	"organelle part"	"chromatin"	"Q00423,P0CG89,Q10370"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0000786"	40819	82	3682	58	986	103	4	"false"	1.03142005389001e-45	8.33340520813407e-44	4.82998981249743e-122	17	9.36745095268595	"cellular_component"	"protein-DNA complex"	"nucleosome"	"Q00423,P0CG89,Q10370"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0001882"	40819	585	3682	222	14015	1616	4	"false"	6.54374410510975e-65	8.94731165140968e-63	0	6	7.0901836676762	"molecular_function"	"small molecule binding"	"nucleoside binding"	"Q43463,Q39821,Q39828"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0002181"	40819	162	3682	95	1180	415	1	"false"	4.17685366049618e-11	7.69363459226111e-10	3.019328380526e-204	26	7.01607569552248	"biological_process"	"organic substance metabolic process"	"cytoplasmic translation"	"P50346,O22518"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0003674"	40819	31122	3682	3109	40819	3682	1	"false"	1.42460203471801e-37	9.04367898825454e-36	0	0	1.35261930662358	"molecular_function"	"NA"	"molecular_function"	"P08995,Q00423,Q43463,P04670,Q948P5,Q948P6,P16313,P37228,P0CG89,O04104,P24099,O82560,P50346,Q42806,Q10370,Q39821,Q39828,Q39817,Q39836,Q39839,P19976,P02236,P02235,O22518"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0003723"	40819	1985	3682	458	7025	599	1	"false"	3.28613199136233e-146	1.66888560418473e-143	0	5	5.50672124164536	"molecular_function"	"organic cyclic compound binding"	"RNA binding"	"P50346"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0003824"	40819	18361	3682	1937	31122	3109	1	"false"	3.97121270232321e-05	0.000310278267181516	0	1	1.72973452002116	"molecular_function"	"NA"	"catalytic activity"	"Q43463,P04670,Q948P5,Q948P6,P37228,O04104,P24099,O82560,Q42806,Q39821,Q39828,Q39839,P19976"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0003924"	40819	578	3682	205	2088	485	1	"false"	1.18934270569225e-15	2.89596802653146e-14	0	7	7.19839725231643	"molecular_function"	"hydrolase activity"	"GTPase activity"	"Q43463,Q39821,Q39828"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0004618"	40819	142	3682	63	3256	297	2	"false"	1.77368888399938e-30	9.13835359799679e-29	9.64946956216939e-253	13	10.7537453138058	"molecular_function"	"transferase activity"	"phosphoglycerate kinase activity"	"Q42806"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0004619"	40819	146	3682	65	177	65	1	"false"	1.14250169185947e-07	1.41518937789562e-06	2.75824421302251e-35	5	9.65513302513773	"molecular_function"	"isomerase activity"	"phosphoglycerate mutase activity"	"Q42806"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0004634"	40819	142	3682	63	270	80	1	"false"	1.19037094415978e-08	1.64022042887132e-07	1.56014682826568e-80	5	10.7537453138058	"molecular_function"	"lyase activity"	"phosphopyruvate hydratase activity"	"Q42806"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0004743"	40819	142	3682	63	3076	280	2	"false"	1.11884732160254e-30	5.84926798278974e-29	3.73403233927573e-249	72	9.36745095268595	"molecular_function"	"transferase activity"	"pyruvate kinase activity"	"Q42806"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0005080"	40819	4	3682	3	198	14	1	"false"	0.0010943371349463	0.00602224228287014	1.60986382886312e-08	6	10.7537453138058	"molecular_function"	"protein binding"	"protein kinase C binding"	"Q39836"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0005198"	40819	818	3682	388	31122	3109	1	"false"	5.71169594763771e-172	2.03050790938521e-168	0	1	7.01607569552248	"molecular_function"	"NA"	"structural molecule activity"	"P50346,O22518"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0005215"	40819	2557	3682	319	32024	3215	2	"false"	1.88289942910996e-05	0.000156761299074612	0	5	3.5905729229592	"molecular_function"	"localization"	"transporter activity"	"P08995,P16313,P02236,P02235"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0005344"	40819	7	3682	4	1743	246	2	"false"	0.00956047542338735	0.0392918961042104	1.04372913506086e-19	12	10.7537453138058	"molecular_function"	"localization"	"oxygen transporter activity"	"P02236,P02235"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0005488"	40819	20298	3682	2101	31122	3109	1	"false"	0.00185706478563293	0.00958576720652359	0	1	3.13206031508123	"molecular_function"	"NA"	"binding"	"Q00423,Q43463,Q948P5,Q948P6,P0CG89,P24099,O82560,P50346,Q42806,Q10370,Q39821,Q39828,Q39817,Q39836,Q39839,P19976,P02236,P02235"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0005506"	40819	617	3682	54	2053	130	1	"false"	0.00266167388839974	0.0131237873415549	0	6	8.80783516475053	"molecular_function"	"ion binding"	"iron ion binding"	"Q948P5,Q948P6,P19976"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0005509"	40819	477	3682	73	4762	442	1	"false"	5.47548886905981e-06	5.10901914160305e-05	0	5	8.67430377212601	"molecular_function"	"ion binding"	"calcium ion binding"	"Q39817"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0005525"	40819	458	3682	205	5180	857	3	"false"	4.15347686955574e-51	4.10155840868629e-49	0	20	9.36745095268595	"molecular_function"	"small molecule binding"	"GTP binding"	"Q43463,Q39821,Q39828"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0005575"	40819	29559	3682	3104	40819	3682	1	"false"	3.9486313391193e-71	5.84891017107046e-69	0	0	2.0507366763414	"cellular_component"	"NA"	"cellular_component"	"P08960,P08995,Q00423,Q43463,P04670,Q948P5,Q948P6,P16313,P37228,P0CG89,O04104,P24099,O82560,P50346,Q42806,Q10370,P04145,Q39821,Q39828,Q39817,Q39836,P19976,O22518"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0005622"	40819	18331	3682	2417	21376	2656	1	"false"	2.15833146529722e-18	6.39405696594301e-17	0	3	2.51732478654045	"cellular_component"	"cell part"	"intracellular"	"P08960,P08995,Q00423,Q43463,P04670,Q948P5,Q948P6,P37228,P0CG89,O04104,P24099,O82560,P50346,Q42806,Q10370,P04145,Q39821,Q39828,Q39817,Q39836,P19976,O22518"
"proteomics"	"identified"	"Benjamini-Hochberg"	0.1	"GO"	"GO:0005623"	40819	21586	3682	2687	29559	3104	1	"false"	1.10101750716035e-81	2.17450957664169e-79	0	1	2.21518209665342	"cellular_component"	"NA"	"cell"	"P08960,P08995,Q00423,Q43463,P04670,Q948P5,Q948P6,P16313,P37228,P0CG89,O04104,P24099,O82560,P50346,Q42806,Q10370,P04145,Q39821,Q39828,Q39817,Q39836,P19976,O22518"
